,t,vx,vy,Vx,Vy,Vr,oz_deg,oz_rad,delta_deg,delta_rad,turn_rX,turn_rY,turn_rR,au,av,ax,ay,ar,Ax,Ay,Ar,alphaz,alphaz_deg,beta_deg,beta_rad,lf_fx,lf_fy,rf_fx,rf_fy,rr_fx,rr_fy,lr_fx,lr_fy,lf_alpha,rf_alpha,rr_alpha,lr_alpha,lf_lock,rf_lock,rr_lock,lr_lock,lf_fz,rf_fz,rr_fz,lr_fz,theta_rad,theta_deg,Fx,Fy,Mz,Dx,Dy
0,0.0,29.333399999999997,0.0,29.333399999999997,0.0,29.333399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,871.2574850299402,871.2574850299402,628.7425149700599,628.7425149700599,0.0,0.0,,,,0.0,0.0
1,0.1,29.33320474512225,0.01281776743251592,29.33320474512225,0.01281776743251592,29.333207545620105,0.10325176291355655,0.001802083221330135,0.8727272727272728,0.015231964381041423,7.112750000000001,16277.38630376411,16277.3878577977,-0.0039050975549957075,0.2563553486503184,-0.0039050975549957075,0.2563553486503184,0.25638509037879004,-0.003928196222737226,0.25635499574413606,0.25638509037879004,0.0360416644266027,2.065035258271131,0.02503660736361279,0.0004369712320241004,-0.18191448237557642,11.942019347064521,-0.18191448237557642,11.942019347064521,0.0,-0.0,0.0,-0.0,0.015231964381041423,0.015231964381041423,-0.0,-0.0,0.0,0.0,0.0,0.0,871.2574850299402,871.2574850299402,628.7425149700599,628.7425149700599,9.010416106650676e-05,0.005162588145677828,,,,2.9333302372561123,0.000640888371625796
2,0.2,29.332249795530483,0.04798434211269453,29.3322486405963,0.050627385917645845,29.33229233193288,0.4073403940471812,0.007109431052494422,1.7454545454545456,0.030463928762082846,7.1211585770822925,4125.822224593451,4125.828370139593,-0.015216992963917451,0.49983702105228,-0.015193894280292403,0.4469761449532537,0.4472343106031477,-0.015484743400668324,0.49982879790093804,0.500068599783351,0.07010529219668303,4.0167373644013615,0.09889227027607893,0.001725995721089699,-0.7128296437069326,23.39189805591047,-0.7049026200120845,23.131768399696412,0.0,0.02237827923698524,0.0,0.022621822821964895,0.029683058805474123,0.02968278531338444,3.977071835275849e-05,3.975679391762486e-05,0.0,0.0,0.0,0.0,876.1523545754802,866.417080898285,625.2025546476348,632.2280098786002,0.0005356798747577346,0.030692195993714717,,,,5.86660290654204,0.0038131460391338844
3,0.3,29.329865713483102,0.09595115781813543,29.329846346546148,0.11166402580483145,29.3300589083395,0.8955989106159871,0.01563114976752337,2.618181818181818,0.045695893143124264,7.1436860029858,1876.3716542134587,1876.3852528160255,-0.03282888803915901,0.7208957766914318,-0.032487746667309504,0.5123601691555641,0.5133891278753745,-0.034034690342978194,0.7208398550265432,0.7216428872658763,0.10032908210389592,5.748432966974755,0.21813433371319102,0.0038071623349392515,-1.5460270021959095,33.809400631454366,-1.512565051141886,33.07763559275278,0.0,0.1371691273247807,0.0,0.13999744580643117,0.04270477282105548,0.04270063762869113,0.00024511618697121995,0.00024477778225442205,0.0,0.0,0.0,0.0,880.8544329614217,861.872772467279,621.7873445300313,635.4854500412682,0.0016727089157586243,0.09583916122687314,,,,8.799707655899162,0.011927716625257746
4,0.4,29.325515178541792,0.1450886462888948,29.325403763190337,0.19415127083382436,29.326046453453362,1.5468658979798107,0.026997903006566397,3.490909090909091,0.06092785752416569,7.191346334809897,1086.210427382373,1086.234232574312,-0.0560227790770839,0.9288491238884263,-0.05452295215886135,0.47038960025962323,0.47353894068442315,-0.05955585731110894,0.928629283720773,0.9305370743413811,0.1270059826769646,7.276906780301718,0.379325924027317,0.006620486312446551,-2.65120070758866,43.45991150655741,-2.5683128710216403,42.101169397043925,0.0,0.4818882352634311,0.0,0.49576911160973136,0.054681496078694186,0.05466249266537594,0.0008655039692302546,0.0008628787510137675,0.0,0.0,0.0,0.0,885.1746822423406,857.7981608794166,618.6354521741489,638.3917047040941,0.003804161554463113,0.21796240165666303,,,,11.732470161385987,0.02721848145719054
5,0.5,29.318755948732584,0.18577470682503242,29.31837368757522,0.29734667827179523,29.3198814924512,2.3418976081426504,0.04087382400666922,4.363636363636363,0.0761598219052071,7.274745769401913,717.2897178103879,717.3266070643938,-0.08457873322520829,1.1350590248709909,-0.08066164402534669,0.3433316104631289,0.352679593342282,-0.09274634050026533,1.1344208515268372,1.1382058478390742,0.1505124373250918,8.623727422955083,0.5810733502113961,0.01014164315678295,-4.021302743314162,52.698715533261186,-3.8587034577921995,50.567870371732404,0.0,1.2202253692325995,0.0,1.2640295522636367,0.06608356012317587,0.06603054862886498,0.00220232901489705,0.002190802393207231,0.0,0.0,0.0,0.0,889.2850147736822,854.0113195943734,615.6242108440567,641.0794547878879,0.007197747905124894,0.41240057696278615,,,,14.664659033924263,0.051793378912471516
6,0.6,29.30917069879438,0.21046693826515916,29.30821291704344,0.4215437639694642,29.31124431912937,3.263491360847701,0.056958669357182745,5.236363636363636,0.09139178628624853,7.400870995177236,514.5522753218522,514.6054964051418,-0.11863667741041903,1.348882689082388,-0.11104335473876208,0.1505130183394061,0.18704222871126444,-0.1349347561331244,1.3473499106469755,1.3540897939697791,0.1711844696851787,9.808147631145923,0.8240356826697228,0.01438213581650584,-5.66718043083758,61.836994012356655,-5.385926160195248,58.768110135813274,0.0,2.4809266807666317,0.0,2.5862693961306267,0.0773052490647071,0.07719287924470272,0.0044998317104483565,0.004464215891888239,0.0,0.0,0.0,0.0,893.3996360564848,850.2949756502677,612.5994661649992,643.7059221282485,0.012089372573317493,0.6926700254123037,,,,17.595988364155197,0.08773790102453448
7,0.7,29.296288216625552,0.21340181036404304,29.29435137290367,0.56786768775379,29.29985488138018,4.29624257844396,0.07498357845821786,6.109090909090909,0.10662375066728995,7.57322735764359,390.6768918640898,390.75028804748985,-0.15859420538504734,1.5775957866041292,-0.14660628863778355,-0.09181557636172855,0.17298411467756658,-0.1880445211852492,1.5743569626819156,1.5855474095380486,0.18931371233552363,10.846876720779255,1.1105331157279565,0.019382459321884066,-7.6132204079894485,71.13188062474967,-7.162637236580179,66.92198958749945,0.0,4.356866756263456,0.0,4.570236938704392,0.08866136351650822,0.08846132560925898,0.007943484717248485,0.007855981201385928,0.0,0.0,0.0,0.0,897.6971951762519,846.4724315589328,609.4320245024472,646.3983487623683,0.01868648496408752,1.0706567223768866,,,,20.52611657865255,0.13720847361069718
8,0.8,29.279506557176443,0.19030829332817276,29.27617023604767,0.7380817651675079,29.285472650823245,5.42630112756996,0.09470682088077666,6.981818181818182,0.12185571504833138,7.793332711449105,309.1241999655177,309.222423247527,-0.20502853173496066,1.8266857616702283,-0.1890269003444027,-0.3700547643556773,0.41553784144906536,-0.2545796348875801,1.820441369617446,1.8381560245839133,0.20515113611565225,11.754294261740752,1.4441784428205613,0.02520566881354346,-9.893930505434087,80.79154027815339,-9.208106612729946,75.1912615395172,0.0,6.909779945595621,0.0,7.295532678059411,0.10039814699494526,0.10008289906587914,0.012669129790409132,0.01248565632979059,0.0,0.0,0.0,0.0,902.3186141350727,842.4083106620187,606.0194177915895,649.2536574113193,0.027171004931037246,1.5567839076775825,,,,23.45464265910012,0.20250594625676213
9,0.9,29.258024670811498,0.13816368990692568,29.25298709344078,0.934422637196958,29.26790733130606,6.641150641352841,0.11590994481254015,7.8545454545454545,0.1370876794293728,8.061626107304159,252.37685291586763,252.50557558836488,-0.2586343204028465,2.100131678918771,-0.24061082695448893,-0.6728373040692639,0.71456532787067,-0.33761060579129254,2.0888905809892617,2.1159973488850166,0.2189113425196175,12.542696013916848,1.8295661621257677,0.031931953412171026,-12.551185336009382,90.98163863170656,-11.5451799189142,83.68925796251997,0.0,10.174555930130493,0.0,10.818989610932233,0.11270399836662756,0.11225043625416874,0.018771469260680778,0.018428617678705937,0.0,0.0,0.0,0.0,907.372112980656,838.0024434741591,602.2824286516916,652.3430148934935,0.037701843215703086,2.1601564961237227,,,,26.381100525574542,0.28613116637498537
